anger,resentment,0.78,True
anger,fury,0.74,True
anger,frustration,0.74,True
anger,outrage,0.72,True
anger,discontent,0.70,True
anger,unhappiness,0.69,True
anger,disgust,0.69,True
anger,indignation,0.69,True
anger,dissatisfaction,0.64,True
anger,discontentment,0.63,False
anger,hostility,0.62,True
anger,bitterness,0.62,True
anger,rage,0.62,True
anger,revulsion,0.62,True
anger,disquiet,0.61,False
anger,anguish,0.60,True
anger,angst,0.60,False
anger,disenchantment,0.60,False
anger,disgruntlement,0.60,False
anger,exasperation,0.60,True
anger,disaffection,0.59,False
anger,dismay,0.59,True
anger,hatred,0.59,True
anger,animosity,0.59,True
anger,displeasure,0.59,True
anger,unease,0.58,False
anger,anxiety,0.57,True
anger,distrust,0.57,True
anger,feeling,0.57,True
anger,disillusionment,0.57,True
anger,impatience,0.56,True
anger,Resentment,0.56,False
anger,grief,0.56,True
anger,antagonism,0.56,True
anger,angry,0.55,True
anger,emotion,0.55,True
anger,Frustration,0.55,False
anger,rancor,0.55,False
anger,loathe,0.55,True
anger,ire,0.54,True
anger,distaste,0.54,True
anger,sympathy,0.53,True
anger,jealousy,0.53,True
anger,bewilderment,0.52,True
anger,ambivalence,0.52,False
anger,antipathy,0.52,True
anger,consternation,0.52,True
anger,disdain,0.52,True
anticipation,anticipate,0.58,False
anticipation,excitement,0.52,True
anticipation,trepidation,0.50,True
anticipation,Excitement,0.49,False
anticipation,dread,0.47,True
anticipation,anxiousness,0.47,False
anticipation,readied,0.46,False
anticipation,impend,0.44,False
anticipation,anticipatory,0.44,True
anticipation,frenzy,0.43,True
anticipation,expectation,0.43,True
anticipation,nervousness,0.43,True
anticipation,preparation,0.42,True
anticipation,buzz,0.42,True
anticipation,Anticipating,0.41,False
anticipation,anxiety,0.41,True
anticipation,preholiday,0.41,False
anticipation,excitment,0.41,False
anticipation,await,0.41,True
anticipation,prelude,0.40,True
anticipation,prepare,0.40,True
anticipation,feverish,0.40,True
anticipation,apprehension,0.40,True
anticipation,fervor,0.40,True
anticipation,giddiness,0.39,False
anticipation,enthusiasm,0.38,True
anticipation,ready,0.38,True
anticipation,frenzied,0.38,True
anticipation,imminent,0.38,True
anticipation,uncertainty,0.38,True
anticipation,upcoming,0.38,False
anticipation,euphoria,0.38,False
anticipation,elation,0.38,False
anticipation,brace,0.37,True
